Title,Start Time,Registerd End Time,Real Duration
Windows PowerShell,2024-02-04 21:38:08.371964,2024-02-04 21:38:18.033389,0 days 00:00:10
Windows PowerShell,2024-02-04 21:38:08.371964,2024-02-04 21:38:36.233002,0 days 00:00:10
data.html and 10 more pages - Personal - Microsoft​ Edge,2024-02-04 21:38:50.405786,2024-02-04 21:39:00.516597,0 days 00:00:10
Windows PowerShell,2024-02-04 21:38:08.371964,2024-02-04 21:39:02.552885,0 days 00:00:10
Windows PowerShell,2024-02-04 21:38:08.371964,2024-02-04 21:39:12.667840,0 days 00:00:10
